1 0 0 0
0.9875 0.00675 0.0055 0
0.97575 0.0145 0.00925 0
0.964 0.02325 0.01225 0
0.9505 0.03425 0.01475 0
0.93625 0.04675 0.0165 0.00025
0.921 0.06025 0.018 0.00025
0.9025 0.0765 0.01975 0.0005
0.883 0.0945 0.02125 0.00075
0.8605 0.115 0.023 0.001
0.83475 0.139 0.02425 0.0015
0.80675 0.166 0.02475 0.002
0.77575 0.196 0.02525 0.0025
0.7395 0.23075 0.026 0.00325
0.6995 0.26925 0.02675 0.004
0.65825 0.30825 0.02825 0.00475
0.61275 0.351 0.02975 0.006
0.566 0.39475 0.03175 0.007
0.51975 0.438 0.0335 0.00825
0.4735 0.48075 0.03525 0.00975
0.426 0.52325 0.03775 0.01225
0.37875 0.56475 0.04125 0.01475
0.3355 0.60175 0.04475 0.0175
0.29475 0.63575 0.0485 0.0205
0.25775 0.6665 0.052 0.02325
0.22475 0.69175 0.056 0.027
0.193 0.7145 0.06125 0.031
0.16575 0.73275 0.065 0.036
0.14175 0.74625 0.071 0.0405
0.122 0.75425 0.07825 0.045
0.104 0.76025 0.085 0.05025
0.08925 0.762 0.0925 0.05575
0.07675 0.7615 0.0995 0.062
0.066 0.755 0.111 0.06725
0.0575 0.74675 0.12175 0.0735
0.04975 0.736 0.1335 0.08025
0.04425 0.72075 0.14875 0.08575
0.03925 0.70375 0.16225 0.09425
0.0355 0.68325 0.18025 0.1005
0.0325 0.65775 0.2005 0.10875
0.02975 0.632 0.22125 0.1165
0.02725 0.604 0.24275 0.1255
0.02475 0.57225 0.27125 0.131
0.0235 0.5335 0.30525 0.13725
0.02225 0.49325 0.3395 0.1445
0.02075 0.45075 0.37725 0.15075
0.01925 0.40825 0.4165 0.15525
0.01775 0.36125 0.461 0.15925
0.0165 0.314 0.5035 0.1655
0.01575 0.27325 0.54375 0.16675
0.01525 0.22875 0.58925 0.16625
0.01525 0.19075 0.62875 0.16475
0.01425 0.156 0.66875 0.1605
0.01425 0.129 0.70125 0.15525
0.01375 0.10425 0.7325 0.14925
0.01275 0.08025 0.7645 0.14175
0.0125 0.06375 0.78925 0.134
0.01225 0.04875 0.81325 0.12525
0.01275 0.04 0.82975 0.117
0.01225 0.03275 0.8465 0.108
0.01275 0.02475 0.86175 0.10025
0.01125 0.01825 0.8765 0.0935
0.01 0.01175 0.8895 0.088
0.01175 0.0105 0.8955 0.08175
0.01375 0.0095 0.90075 0.0755
0.01525 0.0085 0.9045 0.07125
0.015 0.0085 0.9085 0.0675
0.01575 0.00825 0.9125 0.063
0.016 0.008 0.9155 0.06
0.018 0.00725 0.917 0.05725
0.0175 0.007 0.9205 0.05425
0.01825 0.007 0.923 0.05125
0.01925 0.006 0.9245 0.04975
0.01925 0.006 0.926 0.04825
0.0205 0.00575 0.927 0.0465
0.01975 0.00575 0.929 0.045
0.01875 0.00625 0.9305 0.044
0.01925 0.00625 0.93075 0.04325
0.0195 0.006 0.93175 0.04225
0.0205 0.00575 0.93225 0.04125
0.0205 0.0055 0.93275 0.04075
0.0215 0.00475 0.93275 0.0405
0.021 0.0055 0.9335 0.0395
0.02025 0.00525 0.935 0.03875
0.02075 0.00525 0.9355 0.038
0.02025 0.00525 0.93625 0.0375
0.0215 0.005 0.9365 0.03675
0.02275 0.00425 0.9355 0.037
0.02225 0.0045 0.93625 0.0365
0.022 0.0045 0.93675 0.03625
0.02275 0.00425 0.9365 0.036
0.02275 0.00425 0.93625 0.03625
0.02375 0.00375 0.9355 0.0365
0.02475 0.00325 0.93575 0.03575
0.026 0.00275 0.9345 0.03625
0.02675 0.00225 0.9345 0.036
0.02575 0.0025 0.9355 0.0355
0.02575 0.0025 0.9355 0.0355
0.02725 0.002 0.93525 0.035
0.027 0.002 0.9355 0.035
0.027 0.002 0.93525 0.03525
0.0265 0.0025 0.9355 0.03525
0.02675 0.00225 0.935 0.0355
0.026 0.0025 0.9355 0.03525
0.02475 0.003 0.936 0.03575
0.026 0.00275 0.9355 0.0355
0.0275 0.00175 0.93475 0.0355
0.02575 0.0025 0.93575 0.03525
0.02525 0.00275 0.936 0.03525
0.02525 0.003 0.936 0.03525
0.0255 0.00275 0.93575 0.0355
0.02475 0.00325 0.9365 0.03475
0.02425 0.0035 0.9365 0.03525
0.02425 0.0035 0.9365 0.0355
0.023 0.004 0.93675 0.0355
0.02275 0.00425 0.937 0.03525
0.02125 0.005 0.93825 0.035
0.022 0.00475 0.938 0.03475
0.02325 0.004 0.93725 0.035
0.02275 0.00425 0.938 0.03475
0.02325 0.004 0.938 0.0345
0.022 0.00475 0.93825 0.0345
0.02075 0.005 0.93925 0.0345
0.02125 0.005 0.93875 0.0345
0.021 0.005 0.93875 0.03475
0.0205 0.00525 0.9395 0.03425
0.0215 0.00475 0.9385 0.0345
0.02175 0.00475 0.93875 0.03425
0.02275 0.004 0.93825 0.0345
0.0225 0.00425 0.93775 0.03475
0.02425 0.00375 0.9365 0.035
0.02275 0.00425 0.9375 0.03525
0.02175 0.00475 0.93825 0.03475
0.023 0.00425 0.9375 0.03475
0.0235 0.00375 0.937 0.03525
0.026 0.00275 0.93575 0.035
0.02375 0.0035 0.93675 0.03525
0.02375 0.00375 0.9365 0.03575
0.025 0.00325 0.9365 0.035
0.0245 0.0035 0.93625 0.03525
0.0235 0.00375 0.937 0.03525
0.024 0.0035 0.93675 0.035
0.02425 0.0035 0.93725 0.0345
0.0235 0.00375 0.93825 0.03375
0.02475 0.0035 0.9375 0.03375
0.02375 0.00375 0.93775 0.03425
0.0245 0.0035 0.9375 0.03425
