0.019 0.00625 0.8525 0.03425 0 0 0.08625 0.00075 
0.019 0.006 0.85275 0.03375 0 0 0.087 0.00075 
0.02 0.0055 0.8525 0.03325 0 0 0.08725 0.00075 
0.02075 0.00525 0.853 0.03275 0 0 0.08675 0.00075 
0.022 0.0045 0.85325 0.0325 0 0 0.0865 0.00075 
0.02125 0.00475 0.8535 0.03225 0 0 0.0865 0.00075 
0.02175 0.00475 0.853 0.03225 0 0 0.087 0.00075 
0.0215 0.0045 0.85325 0.03225 0 0 0.087 0.00075 
0.022 0.00425 0.85325 0.03175 0 0 0.087 0.00075 
0.02175 0.00425 0.85375 0.0315 0 0 0.087 0.00075 
0.02325 0.0035 0.8535 0.0315 0 0 0.08675 0.00075 
0.02225 0.00425 0.854 0.03175 0 0 0.0865 0.00075 
0.02275 0.004 0.853 0.03175 0 0 0.08675 0.00075 
0.0225 0.004 0.8525 0.03125 0 0 0.08775 0.00075 
0.0225 0.004 0.85275 0.03125 0 0 0.088 0.00075 
0.02225 0.004 0.852 0.03175 0 0 0.08825 0.00075 
0.0245 0.003 0.85075 0.03125 0 0 0.08875 0.00075 
0.02425 0.00325 0.84975 0.03125 0 0 0.08975 0.00075 
0.02375 0.0035 0.84925 0.03125 0 0 0.0905 0.00075 
0.025 0.00275 0.849 0.03125 0 0 0.09025 0.00075 
0.02425 0.003 0.85025 0.03125 0 0 0.08975 0.00075 
0.02625 0.00225 0.84925 0.031 0 0 0.08975 0.00075 
0.0255 0.00275 0.84875 0.031 0 0 0.09075 0.00075 
0.02825 0.00125 0.84725 0.03075 0 0 0.09075 0.00075 
0.0275 0.0015 0.84825 0.0305 0 0 0.09075 0.00075 
0.0265 0.00225 0.848 0.03075 0 0 0.091 0.00075 
0.02625 0.0025 0.84925 0.03025 0 0 0.09025 0.00075 
0.0255 0.0025 0.84975 0.0305 0 0 0.09025 0.00075 
0.02675 0.002 0.84875 0.0305 0 0 0.0905 0.00075 
0.02625 0.00225 0.8485 0.0305 0 0 0.09075 0.0005 
0.02625 0.00225 0.849 0.031 0 0 0.09025 0.0005 
0.0265 0.002 0.84975 0.0305 0 0 0.09 0.0005 
0.02575 0.0025 0.8495 0.03025 0 0 0.09075 0.0005 
0.0265 0.002 0.849 0.03075 0 0 0.09025 0.0005 
0.02725 0.00175 0.848 0.03075 0.00025 0 0.091 0.0005 
0.02775 0.00125 0.84775 0.03125 0 0 0.0905 0.0005 
0.027 0.00175 0.849 0.031 0 0 0.09 0.0005 
0.02825 0.00125 0.849 0.031 0.00025 0 0.08925 0.0005 
0.02925 0.0005 0.849 0.0305 0.0005 0 0.08875 0.0005 
0.041 0.00075 0.839 0.03 0.00075 0 0.0875 0.0005 
0.052 0.0015 0.82825 0.02925 0.001 0 0.08675 0.0005 
