0.5 0 0 0 0.5 0 0 0 
0.489 0.00275 0.003 0 0.5045 0 0 0 
0.479 0.006 0.00525 0 0.50925 0 0 0 
0.4685 0.0095 0.0065 0 0.51475 0 0 0 
0.45825 0.01375 0.00725 0 0.52 0 0 0 
0.4475 0.0185 0.0085 0 0.52475 0 0 0 
0.43775 0.024 0.00925 0 0.5285 0 0 0 
0.4265 0.03 0.01 0 0.5325 0 0 0 
0.4155 0.03725 0.01075 0.00025 0.5355 0 0 0 
0.40525 0.0455 0.01125 0.0005 0.53675 0 0 0 
0.39475 0.05525 0.01075 0.0005 0.53775 0 0 0 
0.38475 0.06575 0.0105 0.00075 0.53725 0.00025 0 0 
0.3725 0.078 0.01025 0.00075 0.537 0.0005 0 0 
0.36025 0.09125 0.01025 0.001 0.5355 0.00075 0 0 
0.34725 0.1065 0.0105 0.00125 0.5325 0.00125 0 0 
0.3325 0.12425 0.01 0.0015 0.529 0.002 0 0 
0.31875 0.14475 0.0095 0.00175 0.522 0.00275 0 0 
0.3045 0.16875 0.009 0.002 0.51125 0.00375 0 0 
0.28825 0.19525 0.0085 0.0025 0.4995 0.005 0 0 
0.2725 0.2225 0.00825 0.003 0.486 0.00675 0 0 
0.25575 0.25525 0.0085 0.00325 0.468 0.0085 0 0 
0.23925 0.28825 0.008 0.00375 0.449 0.011 0 0 
0.223 0.32425 0.0075 0.00425 0.4265 0.01375 0 0 
0.20675 0.362 0.0065 0.00525 0.40225 0.0165 0 0 
0.1895 0.40175 0.006 0.00575 0.3775 0.01875 0 0 
0.1735 0.44225 0.00575 0.006 0.34875 0.02275 0 0 
0.15775 0.48275 0.006 0.0065 0.31875 0.02725 0 0 
0.14075 0.52275 0.005 0.008 0.29025 0.0325 0 0 
0.12525 0.56125 0.00475 0.0095 0.26075 0.03775 0 0 
0.112 0.5975 0.004 0.011 0.23175 0.043 0 0 
0.09925 0.632 0.0035 0.012 0.2035 0.04875 0 0 
0.08825 0.6615 0.00275 0.01275 0.1785 0.05525 0 0 
0.07725 0.68925 0.002 0.01375 0.15475 0.06225 0 0 
0.068 0.71325 0.0015 0.01475 0.1325 0.06925 0 0 
0.061 0.734 0.0015 0.0145 0.11275 0.07525 0 0 
0.053 0.7525 0.00125 0.0155 0.095 0.082 0 0 
0.047 0.76775 0.001 0.01675 0.079 0.088 0 0 
0.04225 0.7795 0.00075 0.0175 0.0645 0.09475 0 0 
0.0385 0.7885 0.0005 0.018 0.05225 0.10125 0 0 
0.0355 0.79625 0.0005 0.01825 0.04175 0.107 0 0 
0.03175 0.80275 0.0005 0.01825 0.033 0.11275 0 0 
0.029 0.8065 0.0005 0.0185 0.0255 0.11925 0 0 
0.02725 0.80825 0.0005 0.019 0.01925 0.125 0 0 
0.0255 0.80825 0.0005 0.0195 0.01425 0.13125 0 0 
